NC_Name,Total Population,White_pop,Black_pop,Ameri_es_pop,Asian_pop,Hawn_pi_pop,Hispanic_pop,Other_pop,Multi_pop,In_Poverty,Owner_occ,Renter_occ,Lat,Long,Column 1,
RESEDA NC,"69,166.59",19116.06,1878.31,35.26,9114.54,532.37,,69.26,1182.54,"68,091.94",10256.75,10025.51,34.2100° N,118.5400° W,,1 site
SHERMAN OAKS NC,"66,486.14",46985.69,2645.86,72.47,5054.1,81.99,,114.95,2734.24,"66,246.94",13330.17,17925.01,34.1511° N,118.4481° W,,"Mid City, Los Angeles - Wikipedia"
SILVER LAKE NC,"33,173.72",14746.43,1067.11,41.78,4769.53,15.37,,60.96,929.36,"32,767.76",4595.84,10465.09,34.0900° N,118.2700° W,,"Table_title: Mid City, Los Angeles Table_content: header: | Mid City | | row: | Mid City: Neighborhood of Los Angeles | : | row: |"
SOUTH CENTRAL NC,"43,027.83",517.93,2383.03,38.17,556.05,50.91,,115.14,137.03,"42,566.38",2114.02,7279.2,34.0100° N,118.2600° W,,
SOUTH ROBERTSON NC,"43,700.98",25181.35,3155.79,131.37,4011.16,36.99,,244.48,1648.33,"43,383.91",5945.88,12114.59,34.0557° N,118.3798° W,,Wikipedia
STUDIO CITY NC,"35,232.86",25509.46,1788.77,84.1,2495.1,12.82,,33.27,1143.79,"34,924.03",7675.52,9367.19,34.1400° N,118.3900° W,,
SUN VALLEY AREA NC,"49,359.02",8914.04,846.97,68.92,4567.41,0.23,,27.14,254.82,"48,747.37",7125.85,6037.14,34.2300° N,118.3700° W,,
SUNLAND-TUJUNGA NC,"41,745.58",24357.41,959.52,75.56,3420.76,0,,84.8,1334.37,"41,438.09",8490.75,6099.1,34.2522 N,118.287 W,,
SYLMAR NC,"75,158.20",8956.93,1700.26,194.28,4376.59,58.96,,301.21,587.07,"74,028.67",13252.74,6133.06,34.3100° N,118.4280° W,,
TARZANA NC,"36,091.73",23427.79,1235.68,24.55,2435.72,29,,81.15,1163.24,"35,722.79",7448.16,5930.31,34.1723° N,118.5448° W,,
"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY","52,784.01",2972.32,13884.31,30.04,3714.02,0,,416.22,827.82,"51,905.40",4092.19,12569.59, 34.032° N,118.315° W,,
VAN NUYS NC,"86,434.13",21985.88,3761.69,193.95,6075.17,18.05,,464.1,1237.98,"85,765.78",7417.51,20384.25,34.1847° N,118.4465° W,,
VENICE NC,"34,994.48",23678.92,1847.43,57.41,1769.88,136.05,,79.94,1121.63,"34,874.07",6472.42,11437.23,33.9908° N,118.4592° W,,
VOICES OF 90037,"45,501.21",477.19,10850.61,6.92,320.77,32.7,,149.19,343.6,"45,246.89",3845.42,8371.65,34.0016° N,118.2917° W,,
WATTS NC,"39,518.10",259.67,10026,88.71,117.4,0.7,,179.71,9.81,"39,148.90",2654.65,6340.33,33.9432° N,118.2435° W,,
WEST ADAMS NC,"27,090.33",1064.55,8908.75,29.26,722.91,6.99,,172.14,421.54,"27,026.75",3430.31,5799.66,34.0283° N,118.3463° W,,
WEST HILLS NC,"36,972.87",23017.5,1146.67,162.95,5599.18,0.42,,22.78,1445.23,"36,793.75",10577.95,1945.08,34.204° N,118.629° W,,
WEST LOS ANGELES NC,"32,515.06",15148.45,883.96,14.78,7259.91,15.03,,37.1,1469.86,"32,315.51",2914.16,12786.7,34.037° N,118.438 °W,,
WESTLAKE NORTH NC,"23,929.92",953.46,898.94,56.13,2423.94,12.04,,6.46,25.33,"23,750.43",218.01,7370.06,34.059° N,118.269° W,,
WESTLAKE SOUTH NC,"21,647.71",1339.19,851.89,47.16,2046.82,111.86,,29.88,56,"21,121.06",177.98,7157.43,34.0583° N,118.2774° W,,
WESTSIDE NC,"31,659.94",21981.59,683.18,17.89,5059.4,194.93,,156.38,1074.33,"31,498.41",7462.54,6741.44,34.0335° N,118.4630° W,,
WESTWOOD NC,"55,443.69",32378.17,1466.24,83.11,14590.55,53.25,,214.83,1886.53,"42,049.98",6384.67,13134.65,34.05611° N,118.42972° W,,
WILMINGTON NC,"59,140.55",3840.9,1406.41,173.57,1203.8,361.61,,9.32,306.1,"58,039.47",6169.1,8086.33,33.7912° N,"118.2633° W
",,
WILSHIRE CENTER - KOREATOWN NC,"99,702.15",7364.2,3608.43,216.59,32842.25,392.87,,628.59,1025.46,"99,508.61",2141.05,36026.35,34.0636° N,118.3016° W,,
WINNETKA NC,"51,259.94",12768.8,2713.13,105.84,8204.16,23.63,,42.65,1441.14,"51,043.62",7773.78,7369.18,34.2083° N,118.5711° W,,
WOODLAND HILLS-WARNER CENTER NC,"68,837.33",44685.05,3618.24,236.68,7481.77,55.14,,83.33,2819.34,"68,502.94",15715.69,12213.06,34.1793° N,118.5975° W,,
ZAPATA KING NC,"50,013.53",596.58,5255.97,17.1,51.29,94.88,,211.02,149.12,"49,808.63",2940.07,8463.65,33.9982° N,118.2649° W,,
